0,94.00,1980/11/22 0:00,1500.00%,"¥43,811,928.00 ",die,43811900,4.38E+07
1,33.00,1980/11/22 0:00,600.00%,"¥43,496,856.00 ",die,43496800,4.35E+07
2,16.00,1980/11/22 0:00,700.00%,"¥43,205,508.00 ",pending,43205500,4.32E+07
3,3.00,1980/11/22 0:00,900.00%,"¥43,593,182.00 ",die,43593100,4.36E+07
4,73.00,1980/11/22 0:00,1000.00%,"¥43,774,610.00 ",normal,43774600,4.38E+07
5,22.00,1980/11/22 0:00,1400.00%,"¥43,679,814.00 ",die,43679800,4.37E+07
6,48.00,1980/11/22 0:00,1700.00%,"¥43,730,130.00 ",normal,43730100,4.37E+07
7,26.00,1980/11/22 0:00,1400.00%,"¥43,964,557.00 ",pending,43964500,4.40E+07
8,57.00,1980/11/22 0:00,500.00%,"¥43,440,619.00 ",normal,43440600,4.34E+07
9,90.00,1980/11/22 0:00,1400.00%,"¥43,894,300.00 ",normal,43894300,4.39E+07
10,76.00,1980/11/22 0:00,1300.00%,"¥43,707,194.00 ",die,43707100,4.37E+07
11,44.00,1980/11/22 0:00,600.00%,"¥43,620,845.00 ",pending,43620800,4.36E+07
12,42.00,1980/11/22 0:00,200.00%,"¥43,322,470.00 ",pending,43322400,4.33E+07
13,69.00,1980/11/22 0:00,1500.00%,"¥43,827,531.00 ",die,43827500,4.38E+07
14,25.00,1980/11/22 0:00,700.00%,"¥43,773,259.00 ",pending,43773200,4.38E+07
15,73.00,1980/11/22 0:00,1200.00%,"¥43,748,714.00 ",pending,43748700,4.37E+07
16,68.00,1980/11/22 0:00,100.00%,"¥43,956,368.00 ",die,43956300,4.40E+07
17,19.00,1980/11/22 0:00,700.00%,"¥43,065,245.00 ",normal,43065200,4.31E+07
18,8.00,1980/11/22 0:00,1100.00%,"¥43,997,187.00 ",pending,43997100,4.40E+07
19,40.00,1980/11/22 0:00,400.00%,"¥43,895,713.00 ",pending,43895700,4.39E+07
20,65.00,1980/11/22 0:00,300.00%,"¥43,853,485.00 ",normal,43853400,4.39E+07
21,29.00,1980/11/22 0:00,600.00%,"¥43,033,273.00 ",pending,43033200,4.30E+07
22,99.00,1980/11/22 0:00,1300.00%,"¥43,886,925.00 ",die,43886900,4.39E+07
23,69.00,1980/11/22 0:00,300.00%,"¥43,572,917.00 ",normal,43572900,4.36E+07
24,66.00,1980/11/22 0:00,1700.00%,"¥43,308,912.00 ",normal,43308900,4.33E+07
25,51.00,1980/11/22 0:00,900.00%,"¥43,206,906.00 ",normal,43206900,4.32E+07
26,60.00,1980/11/22 0:00,500.00%,"¥43,703,954.00 ",pending,43703900,4.37E+07
27,29.00,1980/11/22 0:00,400.00%,"¥43,008,159.00 ",die,43008100,4.30E+07
