0,94,1980/11/22 0:00,15,43811928,die,43811900,43810000
1,33,1980/11/22 0:00,6,43496856,die,43496800,43490000
2,16,1980/11/22 0:00,7,43205508,pending,43205500,43200000
3,3,1980/11/22 0:00,9,43593182,die,43593100,43590000
4,73,1980/11/22 0:00,10,43774610,normal,43774600,43770000
5,22,1980/11/22 0:00,14,43679814,die,43679800,43670000
6,48,1980/11/22 0:00,17,43730130,normal,43730100,43730000
7,26,1980/11/22 0:00,14,43964557,pending,43964500,43960000
8,57,1980/11/22 0:00,5,43440619,normal,43440600,43440000
9,90,1980/11/22 0:00,14,43894300,normal,43894300,43890000
10,76,1980/11/22 0:00,13,43707194,die,43707100,43700000
11,44,1980/11/22 0:00,6,43620845,pending,43620800,43620000
12,42,1980/11/22 0:00,2,43322470,pending,43322400,43320000
13,69,1980/11/22 0:00,15,43827531,die,43827500,43820000
14,25,1980/11/22 0:00,7,43773259,pending,43773200,43770000
15,73,1980/11/22 0:00,12,43748714,pending,43748700,43740000
16,68,1980/11/22 0:00,1,43956368,die,43956300,43950000
17,19,1980/11/22 0:00,7,43065245,normal,43065200,43060000
18,8,1980/11/22 0:00,11,43997187,pending,43997100,43990000
19,40,1980/11/22 0:00,4,43895713,pending,43895700,43890000
20,65,1980/11/22 0:00,3,43853485,normal,43853400,43850000
21,29,1980/11/22 0:00,6,43033273,pending,43033200,43030000
22,99,1980/11/22 0:00,13,43886925,die,43886900,43880000
23,69,1980/11/22 0:00,3,43572917,normal,43572900,43570000
24,66,1980/11/22 0:00,17,43308912,normal,43308900,43300000
25,51,1980/11/22 0:00,9,43206906,normal,43206900,43200000
26,60,1980/11/22 0:00,5,43703954,pending,43703900,43700000
27,29,1980/11/22 0:00,4,43008159,die,43008100,43000000
28,98,1980/11/22 0:00,13,43710607,normal,43710600,43710000
29,45,1980/11/22 0:00,8,43440573,pending,43440500,43440000
30,16,1980/11/22 0:00,4,43844150,die,43844100,43840000
31,62,1980/11/22 0:00,14,43092554,normal,43092500,43090000
32,40,1980/11/22 0:00,12,43149816,die,43149800,43140000
33,17,1980/11/22 0:00,2,43123276,normal,43123200,43120000
34,20,1980/11/22 0:00,5,43277128,die,43277100,43270000
35,17,1980/11/22 0:00,5,43311470,die,43311400,43310000
36,69,1980/11/22 0:00,13,43895488,pending,43895400,43890000
37,71,1980/11/22 0:00,5,43905923,pending,43905900,43900000
38,65,1980/11/22 0:00,12,43681631,pending,43681600,43680000
39,37,1980/11/22 0:00,9,43764597,pending,43764500,43760000
40,81,1980/11/22 0:00,4,43016398,die,43016300,43010000
41,43,1980/11/22 0:00,17,43167849,normal,43167800,43160000
42,11,1980/11/22 0:00,10,43419092,pending,43419000,43410000
43,7,1980/11/22 0:00,12,43355505,normal,43355500,43350000
44,62,1980/11/22 0:00,13,43412605,normal,43412600,43410000
45,1,1980/11/22 0:00,13,43214714,die,43214700,43210000
46,75,1980/11/22 0:00,12,43319726,pending,43319700,43310000
47,29,1980/11/22 0:00,16,43127296,normal,43127200,43120000
48,63,1980/11/22 0:00,10,43928176,pending,43928100,43920000
49,53,1980/11/22 0:00,10,43700232,die,43700200,43700000
50,8,1980/11/22 0:00,6,43061535,normal,43061500,43060000
51,22,1980/11/22 0:00,15,43621567,normal,43621500,43620000
52,95,1980/11/22 0:00,1,43316962,normal,43316900,43310000
53,11,1980/11/22 0:00,17,43298780,die,43298700,43290000
54,68,1980/11/22 0:00,3,43525254,die,43525200,43520000
55,5,1980/11/22 0:00,17,43335457,pending,43335400,43330000
56,52,1980/11/22 0:00,3,43827118,normal,43827100,43820000
57,96,1980/11/22 0:00,6,43370254,pending,43370200,43370000
58,89,1980/11/22 0:00,9,43855286,die,43855200,43850000
59,75,1980/11/22 0:00,10,43274699,pending,43274600,43270000
